[INFO] CUDA Version: 11.7
[INFO] PyTorch Version: 1.13.1
[INFO] Pytorch-Geometric Version: 2.2.0
[INFO] Number of training graphs: 20031
[INFO] Number of test graphs: 5008
[INFO] Size of mini batch: 128
[INFO] =============================================================
[INFO] Optimizer settings:
Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    capturable: False
    differentiable: False
    eps: 1e-08
    foreach: None
    fused: False
    lr: 0.01
    maximize: False
    weight_decay: 0
)
[INFO] Criterion settings: CrossEntropyLoss()
[INFO] Maximum epoch number: 1000
[INFO] =============================================================
Epoch: 001, Loss: 0.6832, Train Acc: 0.5743, Test Acc: 0.5805
Epoch: 002, Loss: 0.6804, Train Acc: 0.5743, Test Acc: 0.5805
Epoch: 003, Loss: 0.6702, Train Acc: 0.5839, Test Acc: 0.5827
Epoch: 004, Loss: 0.6605, Train Acc: 0.5950, Test Acc: 0.5883
Epoch: 005, Loss: 0.6511, Train Acc: 0.6093, Test Acc: 0.6002
Epoch: 006, Loss: 0.6391, Train Acc: 0.6387, Test Acc: 0.6126
Epoch: 007, Loss: 0.6267, Train Acc: 0.6453, Test Acc: 0.6256
Epoch: 008, Loss: 0.6142, Train Acc: 0.6634, Test Acc: 0.6364
Epoch: 009, Loss: 0.5998, Train Acc: 0.6750, Test Acc: 0.6354
Epoch: 010, Loss: 0.5838, Train Acc: 0.6778, Test Acc: 0.6424
Epoch: 011, Loss: 0.5724, Train Acc: 0.6966, Test Acc: 0.6522
Epoch: 012, Loss: 0.5575, Train Acc: 0.6985, Test Acc: 0.6462
Epoch: 013, Loss: 0.5466, Train Acc: 0.7126, Test Acc: 0.6587
Epoch: 014, Loss: 0.5345, Train Acc: 0.7213, Test Acc: 0.6669
Epoch: 015, Loss: 0.5270, Train Acc: 0.7359, Test Acc: 0.6713
Epoch: 016, Loss: 0.5134, Train Acc: 0.7441, Test Acc: 0.6823
Epoch: 017, Loss: 0.5019, Train Acc: 0.7497, Test Acc: 0.6847
Epoch: 018, Loss: 0.4968, Train Acc: 0.7503, Test Acc: 0.6875
Epoch: 019, Loss: 0.4913, Train Acc: 0.7585, Test Acc: 0.6881
Epoch: 020, Loss: 0.4819, Train Acc: 0.7587, Test Acc: 0.6883
Epoch: 021, Loss: 0.4760, Train Acc: 0.7655, Test Acc: 0.6913
Epoch: 022, Loss: 0.4738, Train Acc: 0.7703, Test Acc: 0.6925
Epoch: 023, Loss: 0.4631, Train Acc: 0.7761, Test Acc: 0.7063
Epoch: 024, Loss: 0.4599, Train Acc: 0.7739, Test Acc: 0.7019
Epoch: 025, Loss: 0.4524, Train Acc: 0.7764, Test Acc: 0.7019
Epoch: 026, Loss: 0.4450, Train Acc: 0.7760, Test Acc: 0.6965
Epoch: 027, Loss: 0.4409, Train Acc: 0.7843, Test Acc: 0.7091
Epoch: 028, Loss: 0.4405, Train Acc: 0.7766, Test Acc: 0.7089
Epoch: 029, Loss: 0.4479, Train Acc: 0.7875, Test Acc: 0.7087
Epoch: 030, Loss: 0.4258, Train Acc: 0.7934, Test Acc: 0.7079
Epoch: 031, Loss: 0.4291, Train Acc: 0.7911, Test Acc: 0.7011
Epoch: 032, Loss: 0.4214, Train Acc: 0.7837, Test Acc: 0.7039
Epoch: 033, Loss: 0.4273, Train Acc: 0.7821, Test Acc: 0.6967
Epoch: 034, Loss: 0.4150, Train Acc: 0.7942, Test Acc: 0.7087
Epoch: 035, Loss: 0.4259, Train Acc: 0.7849, Test Acc: 0.7095
Epoch: 036, Loss: 0.4226, Train Acc: 0.7886, Test Acc: 0.7117
Epoch: 037, Loss: 0.4147, Train Acc: 0.7977, Test Acc: 0.7069
Epoch: 038, Loss: 0.4062, Train Acc: 0.7914, Test Acc: 0.7061
Epoch: 039, Loss: 0.4062, Train Acc: 0.8029, Test Acc: 0.7149
Epoch: 040, Loss: 0.4037, Train Acc: 0.8121, Test Acc: 0.7270
Epoch: 041, Loss: 0.3892, Train Acc: 0.8036, Test Acc: 0.7137
Epoch: 042, Loss: 0.3921, Train Acc: 0.8111, Test Acc: 0.7133
Epoch: 043, Loss: 0.3971, Train Acc: 0.8082, Test Acc: 0.7173
Epoch: 044, Loss: 0.3860, Train Acc: 0.8217, Test Acc: 0.7226
Epoch: 045, Loss: 0.3886, Train Acc: 0.8127, Test Acc: 0.7198
Epoch: 046, Loss: 0.3836, Train Acc: 0.8200, Test Acc: 0.7288
Epoch: 047, Loss: 0.3928, Train Acc: 0.8211, Test Acc: 0.7274
Epoch: 048, Loss: 0.3793, Train Acc: 0.8212, Test Acc: 0.7316
Epoch: 049, Loss: 0.3819, Train Acc: 0.8263, Test Acc: 0.7374
Epoch: 050, Loss: 0.3695, Train Acc: 0.8168, Test Acc: 0.7157
Epoch: 051, Loss: 0.3756, Train Acc: 0.8331, Test Acc: 0.7404
Epoch: 052, Loss: 0.3666, Train Acc: 0.8115, Test Acc: 0.7220
Epoch: 053, Loss: 0.3747, Train Acc: 0.8265, Test Acc: 0.7288
Epoch: 054, Loss: 0.3707, Train Acc: 0.8181, Test Acc: 0.7157
Epoch: 055, Loss: 0.3578, Train Acc: 0.8117, Test Acc: 0.7278
Epoch: 056, Loss: 0.3647, Train Acc: 0.8221, Test Acc: 0.7288
Epoch: 057, Loss: 0.3644, Train Acc: 0.8187, Test Acc: 0.7258
Epoch: 058, Loss: 0.3592, Train Acc: 0.8267, Test Acc: 0.7328
Epoch: 059, Loss: 0.3584, Train Acc: 0.8339, Test Acc: 0.7330
Epoch: 060, Loss: 0.3584, Train Acc: 0.8416, Test Acc: 0.7442
Epoch: 061, Loss: 0.3583, Train Acc: 0.8372, Test Acc: 0.7442
Epoch: 062, Loss: 0.3558, Train Acc: 0.8341, Test Acc: 0.7312
Epoch: 063, Loss: 0.3418, Train Acc: 0.8431, Test Acc: 0.7440
Epoch: 064, Loss: 0.3470, Train Acc: 0.8235, Test Acc: 0.7360
Epoch: 065, Loss: 0.3438, Train Acc: 0.8460, Test Acc: 0.7476
Epoch: 066, Loss: 0.3469, Train Acc: 0.8353, Test Acc: 0.7410
Epoch: 067, Loss: 0.3445, Train Acc: 0.8405, Test Acc: 0.7444
Epoch: 068, Loss: 0.3466, Train Acc: 0.8387, Test Acc: 0.7440
Epoch: 069, Loss: 0.3450, Train Acc: 0.8323, Test Acc: 0.7434
Epoch: 070, Loss: 0.3637, Train Acc: 0.8429, Test Acc: 0.7450
Epoch: 071, Loss: 0.3445, Train Acc: 0.8201, Test Acc: 0.7340
Epoch: 072, Loss: 0.3419, Train Acc: 0.7978, Test Acc: 0.7155
Epoch: 073, Loss: 0.3440, Train Acc: 0.8185, Test Acc: 0.7376
Epoch: 074, Loss: 0.3386, Train Acc: 0.8352, Test Acc: 0.7358
Epoch: 075, Loss: 0.3524, Train Acc: 0.8253, Test Acc: 0.7286
Epoch: 076, Loss: 0.3452, Train Acc: 0.8484, Test Acc: 0.7530
Epoch: 077, Loss: 0.3353, Train Acc: 0.8394, Test Acc: 0.7486
Epoch: 078, Loss: 0.3316, Train Acc: 0.8547, Test Acc: 0.7568
Epoch: 079, Loss: 0.3165, Train Acc: 0.8429, Test Acc: 0.7466
Epoch: 080, Loss: 0.3244, Train Acc: 0.8386, Test Acc: 0.7486
Epoch: 081, Loss: 0.3161, Train Acc: 0.8478, Test Acc: 0.7540
Epoch: 082, Loss: 0.3167, Train Acc: 0.8205, Test Acc: 0.7344
Epoch: 083, Loss: 0.3386, Train Acc: 0.8437, Test Acc: 0.7434
Epoch: 084, Loss: 0.3238, Train Acc: 0.8549, Test Acc: 0.7532
Epoch: 085, Loss: 0.3208, Train Acc: 0.8503, Test Acc: 0.7560
Epoch: 086, Loss: 0.3076, Train Acc: 0.8524, Test Acc: 0.7540
Epoch: 087, Loss: 0.3154, Train Acc: 0.8546, Test Acc: 0.7516
Epoch: 088, Loss: 0.3336, Train Acc: 0.8461, Test Acc: 0.7492
Epoch: 089, Loss: 0.3323, Train Acc: 0.8513, Test Acc: 0.7544
Epoch: 090, Loss: 0.3134, Train Acc: 0.8540, Test Acc: 0.7512
Epoch: 091, Loss: 0.3070, Train Acc: 0.8687, Test Acc: 0.7628
Epoch: 092, Loss: 0.3064, Train Acc: 0.8556, Test Acc: 0.7598
Epoch: 093, Loss: 0.3377, Train Acc: 0.8385, Test Acc: 0.7456
Epoch: 094, Loss: 0.3098, Train Acc: 0.8643, Test Acc: 0.7578
Epoch: 095, Loss: 0.2961, Train Acc: 0.8477, Test Acc: 0.7488
Epoch: 096, Loss: 0.3208, Train Acc: 0.8523, Test Acc: 0.7468
Epoch: 097, Loss: 0.3086, Train Acc: 0.8571, Test Acc: 0.7566
Epoch: 098, Loss: 0.3075, Train Acc: 0.8600, Test Acc: 0.7586
Epoch: 099, Loss: 0.3250, Train Acc: 0.8596, Test Acc: 0.7560
Epoch: 100, Loss: 0.3290, Train Acc: 0.8527, Test Acc: 0.7478
Epoch: 101, Loss: 0.3080, Train Acc: 0.8356, Test Acc: 0.7486
Epoch: 102, Loss: 0.3310, Train Acc: 0.8524, Test Acc: 0.7604
Epoch: 103, Loss: 0.3239, Train Acc: 0.8502, Test Acc: 0.7516
Epoch: 104, Loss: 0.3088, Train Acc: 0.8597, Test Acc: 0.7524
Epoch: 105, Loss: 0.2986, Train Acc: 0.8610, Test Acc: 0.7572
Epoch: 106, Loss: 0.3013, Train Acc: 0.8622, Test Acc: 0.7618
Epoch: 107, Loss: 0.2989, Train Acc: 0.8716, Test Acc: 0.7642
Epoch: 108, Loss: 0.2886, Train Acc: 0.8590, Test Acc: 0.7574
Epoch: 109, Loss: 0.2953, Train Acc: 0.8668, Test Acc: 0.7600
Epoch: 110, Loss: 0.2874, Train Acc: 0.8721, Test Acc: 0.7608
Epoch: 111, Loss: 0.3281, Train Acc: 0.8604, Test Acc: 0.7552
Epoch: 112, Loss: 0.2970, Train Acc: 0.8697, Test Acc: 0.7676
Epoch: 113, Loss: 0.2803, Train Acc: 0.8746, Test Acc: 0.7690
Epoch: 114, Loss: 0.2860, Train Acc: 0.8521, Test Acc: 0.7590
Epoch: 115, Loss: 0.2998, Train Acc: 0.8599, Test Acc: 0.7566
Epoch: 116, Loss: 0.3031, Train Acc: 0.8705, Test Acc: 0.7630
Epoch: 117, Loss: 0.2915, Train Acc: 0.8646, Test Acc: 0.7636
Epoch: 118, Loss: 0.2861, Train Acc: 0.8690, Test Acc: 0.7680
Epoch: 119, Loss: 0.3278, Train Acc: 0.8279, Test Acc: 0.7292
Epoch: 120, Loss: 0.3150, Train Acc: 0.8631, Test Acc: 0.7622
Epoch: 121, Loss: 0.3023, Train Acc: 0.8543, Test Acc: 0.7572
Epoch: 122, Loss: 0.2952, Train Acc: 0.8715, Test Acc: 0.7616
Epoch: 123, Loss: 0.2951, Train Acc: 0.8785, Test Acc: 0.7624
Epoch: 124, Loss: 0.2794, Train Acc: 0.8499, Test Acc: 0.7500
Epoch: 125, Loss: 0.3508, Train Acc: 0.8459, Test Acc: 0.7474
Epoch: 126, Loss: 0.3023, Train Acc: 0.8575, Test Acc: 0.7552
Epoch: 127, Loss: 0.2965, Train Acc: 0.8634, Test Acc: 0.7540
Epoch: 128, Loss: 0.2913, Train Acc: 0.8606, Test Acc: 0.7510
Epoch: 129, Loss: 0.2893, Train Acc: 0.8679, Test Acc: 0.7614
Epoch: 130, Loss: 0.2973, Train Acc: 0.8655, Test Acc: 0.7548
Epoch: 131, Loss: 0.2767, Train Acc: 0.8756, Test Acc: 0.7664
Epoch: 132, Loss: 0.2913, Train Acc: 0.8661, Test Acc: 0.7594
Epoch: 133, Loss: 0.2778, Train Acc: 0.8705, Test Acc: 0.7628
Epoch: 134, Loss: 0.2881, Train Acc: 0.8785, Test Acc: 0.7696
Epoch: 135, Loss: 0.2762, Train Acc: 0.8744, Test Acc: 0.7642
Epoch: 136, Loss: 0.2759, Train Acc: 0.8867, Test Acc: 0.7742
Epoch: 137, Loss: 0.2781, Train Acc: 0.8702, Test Acc: 0.7682
Epoch: 138, Loss: 0.2871, Train Acc: 0.8759, Test Acc: 0.7672
Epoch: 139, Loss: 0.2729, Train Acc: 0.8820, Test Acc: 0.7734
Epoch: 140, Loss: 0.2701, Train Acc: 0.8790, Test Acc: 0.7680
Epoch: 141, Loss: 0.2947, Train Acc: 0.8152, Test Acc: 0.7298
Epoch: 142, Loss: 0.3277, Train Acc: 0.8471, Test Acc: 0.7532
Epoch: 143, Loss: 0.2925, Train Acc: 0.8560, Test Acc: 0.7592
Epoch: 144, Loss: 0.2775, Train Acc: 0.8714, Test Acc: 0.7636
Epoch: 145, Loss: 0.2788, Train Acc: 0.8792, Test Acc: 0.7710
Epoch: 146, Loss: 0.2876, Train Acc: 0.8783, Test Acc: 0.7762
Epoch: 147, Loss: 0.2730, Train Acc: 0.8729, Test Acc: 0.7632
Epoch: 148, Loss: 0.2712, Train Acc: 0.8875, Test Acc: 0.7815
Epoch: 149, Loss: 0.2649, Train Acc: 0.8826, Test Acc: 0.7694
Epoch: 150, Loss: 0.2746, Train Acc: 0.8810, Test Acc: 0.7738
Epoch: 151, Loss: 0.3096, Train Acc: 0.8179, Test Acc: 0.7318
Epoch: 152, Loss: 0.3210, Train Acc: 0.8753, Test Acc: 0.7622
Epoch: 153, Loss: 0.2768, Train Acc: 0.8822, Test Acc: 0.7732
Epoch: 154, Loss: 0.2922, Train Acc: 0.8704, Test Acc: 0.7586
Epoch: 155, Loss: 0.3194, Train Acc: 0.8714, Test Acc: 0.7640
Epoch: 156, Loss: 0.2781, Train Acc: 0.8821, Test Acc: 0.7740
Epoch: 157, Loss: 0.2746, Train Acc: 0.8752, Test Acc: 0.7654
Epoch: 158, Loss: 0.2873, Train Acc: 0.8644, Test Acc: 0.7556
Epoch: 159, Loss: 0.2730, Train Acc: 0.8825, Test Acc: 0.7712
Epoch: 160, Loss: 0.2645, Train Acc: 0.8874, Test Acc: 0.7764
Epoch: 161, Loss: 0.2572, Train Acc: 0.8860, Test Acc: 0.7714
Epoch: 162, Loss: 0.2795, Train Acc: 0.8780, Test Acc: 0.7658
Epoch: 163, Loss: 0.2652, Train Acc: 0.8796, Test Acc: 0.7678
Epoch: 164, Loss: 0.2597, Train Acc: 0.8834, Test Acc: 0.7684
Epoch: 165, Loss: 0.2626, Train Acc: 0.8858, Test Acc: 0.7718
Epoch: 166, Loss: 0.2797, Train Acc: 0.8832, Test Acc: 0.7684
Epoch: 167, Loss: 0.2563, Train Acc: 0.8798, Test Acc: 0.7698
Epoch: 168, Loss: 0.2636, Train Acc: 0.8805, Test Acc: 0.7714
Epoch: 169, Loss: 0.2771, Train Acc: 0.8720, Test Acc: 0.7666
Epoch: 170, Loss: 0.2584, Train Acc: 0.8849, Test Acc: 0.7722
Epoch: 171, Loss: 0.2943, Train Acc: 0.8831, Test Acc: 0.7650
Epoch: 172, Loss: 0.2703, Train Acc: 0.8735, Test Acc: 0.7692
Epoch: 173, Loss: 0.2961, Train Acc: 0.8754, Test Acc: 0.7680
Epoch: 174, Loss: 0.2701, Train Acc: 0.8881, Test Acc: 0.7722
Epoch: 175, Loss: 0.2619, Train Acc: 0.8842, Test Acc: 0.7702
Epoch: 176, Loss: 0.2576, Train Acc: 0.8789, Test Acc: 0.7686
Epoch: 177, Loss: 0.2743, Train Acc: 0.8810, Test Acc: 0.7734
Epoch: 178, Loss: 0.2665, Train Acc: 0.8893, Test Acc: 0.7718
Epoch: 179, Loss: 0.2631, Train Acc: 0.8870, Test Acc: 0.7754
Epoch: 180, Loss: 0.2667, Train Acc: 0.8865, Test Acc: 0.7758
Epoch: 181, Loss: 0.2747, Train Acc: 0.8872, Test Acc: 0.7766
Epoch: 182, Loss: 0.2470, Train Acc: 0.8875, Test Acc: 0.7714
Epoch: 183, Loss: 0.2476, Train Acc: 0.8828, Test Acc: 0.7728
Epoch: 184, Loss: 0.2695, Train Acc: 0.8690, Test Acc: 0.7620
Epoch: 185, Loss: 0.2693, Train Acc: 0.8913, Test Acc: 0.7778
Epoch: 186, Loss: 0.2457, Train Acc: 0.8936, Test Acc: 0.7815
Epoch: 187, Loss: 0.2547, Train Acc: 0.8769, Test Acc: 0.7658
Epoch: 188, Loss: 0.2645, Train Acc: 0.8831, Test Acc: 0.7758
Epoch: 189, Loss: 0.2623, Train Acc: 0.8796, Test Acc: 0.7660
Epoch: 190, Loss: 0.2605, Train Acc: 0.8610, Test Acc: 0.7536
Epoch: 191, Loss: 0.3095, Train Acc: 0.8514, Test Acc: 0.7500
Epoch: 192, Loss: 0.2865, Train Acc: 0.8866, Test Acc: 0.7744
Epoch: 193, Loss: 0.2719, Train Acc: 0.8789, Test Acc: 0.7694
Epoch: 194, Loss: 0.2570, Train Acc: 0.8799, Test Acc: 0.7700
Epoch: 195, Loss: 0.2524, Train Acc: 0.8952, Test Acc: 0.7770
Epoch: 196, Loss: 0.2522, Train Acc: 0.8907, Test Acc: 0.7768
Epoch: 197, Loss: 0.2424, Train Acc: 0.8984, Test Acc: 0.7780
Epoch: 198, Loss: 0.2654, Train Acc: 0.8960, Test Acc: 0.7776
Epoch: 199, Loss: 0.2447, Train Acc: 0.8929, Test Acc: 0.7754
Epoch: 200, Loss: 0.2569, Train Acc: 0.8884, Test Acc: 0.7730
Epoch: 201, Loss: 0.2573, Train Acc: 0.8812, Test Acc: 0.7724
Epoch: 202, Loss: 0.2651, Train Acc: 0.8947, Test Acc: 0.7823
